neighbourhood	avg_price($)	avg_latitute	avg_longitude
Oakridge	138.1590909	49.22687545	-123.1222586
Shaughnessy	167.6779661	49.24846099	-123.1353403
Fairview	175.6511628	49.26303494	-123.1305226
Arbutus Ridge	227.3404255	49.24770532	-123.1632494
Downtown Eastside	206.6568627	49.28049134	-123.098105
Hastings-Sunrise	161.7037037	49.27820543	-123.0360401
Mount Pleasant	201.1283186	49.26367887	-123.0977624
Renfrew-Collingwood	150.6683938	49.24554103	-123.0359196
Victoria-Fraserview	143.3921569	49.22156365	-123.0643227
Riley Park	189.7135678	49.24627527	-123.1014697
Sunset	180.3205128	49.22176185	-123.0935098
Grandview-Woodland	174.2376238	49.27447306	-123.0658436
Dunbar Southlands	222.3783784	49.24671654	-123.1852556
Strathcona	192.5357143	49.2720461	-123.0969867
Marpole	167.25	49.20638963	-123.1252578
Kensington-Cedar Cottage	151.3580247	49.24889599	-123.0755634
Downtown	243.4853801	49.27893119	-123.1200116
West End	191.4597701	49.28510403	-123.1315635
Killarney	160.425	49.22317186	-123.0263839
South Cambie	165.4423077	49.25083718	-123.1210987
Kitsilano	239.1411043	49.26681613	-123.1645623
West Point Grey	241.0634921	49.26296135	-123.2049159
Kerrisdale	166.6857143	49.22605686	-123.1532529
Oaklands	195.71875	48.44132875	-123.3427541
North Park	137.7692308	48.43031469	-123.357598
Sidney	184.515625	48.65618561	-123.4039968
Fairfield	181.2978723	48.41241308	-123.3543395
Victoria West	163.4102564	48.43211146	-123.3840591
Highlands	177.1666667	48.49765611	-123.50731
Central Saanich	181.6666667	48.5787291	-123.4315272
Rockland	208.8857143	48.42163914	-123.3422654
Oak Bay	209.6551724	48.43176845	-123.3148597
James Bay	276.4303797	48.41895515	-123.3775432
North Jubilee	149.25	48.43471375	-123.3311802
Juan de Fuca	271.708502	48.46277902	-123.9814574
Sooke	209.6780822	48.3780254	-123.7173187
Esquimalt	142.1688312	48.43351818	-123.4080438
South Jubilee	141.25	48.427995	-123.3271388
Downtown	193.3992016	48.42747438	-123.3667968
Harris Green	176.2857143	48.42550143	-123.3571018
Gonzales	186.0714286	48.41473289	-123.3312858
Metchosin	182.6666667	48.38065567	-123.5350004
Langford	179.6153846	48.45058863	-123.512203
Saanich	167.6072144	48.47839262	-123.3651
North Saanich	214.2197802	48.65804256	-123.4389206
Colwood	165.7307692	48.41951404	-123.4925928
Southern Gulf Islands	238.9668874	48.83176292	-123.3162702
View Royal	164.3695652	48.45779565	-123.4398054
Hillside/Quadra	157.3636364	48.43956874	-123.3563911
Fernwood	158.1886792	48.42915811	-123.3446966
Burnside	113.7692308	48.44119692	-123.3784746
Salt Spring Island	234.5066667	48.85025222	-123.5092418
Saint George	214.44	45.1184436	-66.8314948
Lorne	176.3333333	47.06977333	-67.29893667
Springfield	144.5	45.62951107	-65.87579239
Wellington	146.637931	46.47197307	-64.68741041
Brunswick	195	46.05768	-65.55881
Brighton	131.5	46.38715	-67.3669525
Hampstead	191	45.6637245	-66.1065315
Moncton	129.2105263	46.09981379	-64.790134
Saumarez	101.6666667	47.49287267	-64.91230067
Chipman	114.25	46.17265	-65.888965
Saint-Quentin	161.4444444	47.51809111	-67.30317
New Bandon	175.6	47.81156	-65.082797
Saint Patrick	153.5217391	45.19146043	-66.96804565
Ludlow	325	46.50586	-66.298668
Hampton	127.6	45.464372	-65.856702
Cambridge	145	45.78100333	-66.05881333
Norton	178.3333333	45.61520333	-65.73322333
Dumfries	230	45.97104	-67.23623
Grand Manan	160.1276596	44.7022966	-66.7734866
Beresford	195.25	47.76391188	-65.72627938
Saint David	207.375	45.220045	-67.176115
Stanley	119.25	46.3708325	-66.6168
Petersville	180	45.45711	-66.34091
Grimmer	108	47.64961333	-67.40265
Caraquet	152.0238095	47.78302176	-64.95783802
Lepreau	179.5	45.1267	-66.478495
Andover	150.2	46.718218	-67.752024
Perth	151.25	46.74035	-67.63133
Grand Falls	199.3333333	46.85518667	-67.78050333
Derby	242.25	46.8960175	-65.6705
Carleton	148.3333333	46.90050333	-64.90918
Dalhousie	151.4285714	48.05350429	-66.4009
