neighbourhood,average_price($),latitude,longitude
Oakridge,138.1590909090909,49.22845,-123.11504
Oakridge,138.1590909090909,49.23094,-123.13746
Oakridge,138.1590909090909,49.22467,-123.12011
Oakridge,138.1590909090909,49.22244,-123.13035
Oakridge,138.1590909090909,49.22418,-123.11636
Oakridge,138.1590909090909,49.22732,-123.11203
Oakridge,138.1590909090909,49.23097,-123.11167
Oakridge,138.1590909090909,49.22396,-123.12185
Oakridge,138.1590909090909,49.23272,-123.13075
Oakridge,138.1590909090909,49.22584,-123.13769
Oakridge,138.1590909090909,49.2272,-123.11212
Oakridge,138.1590909090909,49.22671,-123.11416
Oakridge,138.1590909090909,49.22397,-123.12685
Oakridge,138.1590909090909,49.22335,-123.12824
Oakridge,138.1590909090909,49.22709,-123.12732
Oakridge,138.1590909090909,49.229675,-123.13176
Oakridge,138.1590909090909,49.23119,-123.12707
Oakridge,138.1590909090909,49.22744,-123.11215
Oakridge,138.1590909090909,49.22067,-123.13884
Oakridge,138.1590909090909,49.23266,-123.11526
Oakridge,138.1590909090909,49.23262,-123.1147
Oakridge,138.1590909090909,49.22635,-123.12193
Oakridge,138.1590909090909,49.22318,-123.12745
Oakridge,138.1590909090909,49.22389,-123.13323
Oakridge,138.1590909090909,49.22454,-123.11915
Oakridge,138.1590909090909,49.22663,-123.1138
Oakridge,138.1590909090909,49.22628,-123.1219
Oakridge,138.1590909090909,49.22746,-123.13148
Oakridge,138.1590909090909,49.227,-123.11221
Oakridge,138.1590909090909,49.23348,-123.11616
Oakridge,138.1590909090909,49.22598,-123.11432
Oakridge,138.1590909090909,49.2273,-123.11242
Oakridge,138.1590909090909,49.223705,-123.130417
Oakridge,138.1590909090909,49.22298,-123.13857
Oakridge,138.1590909090909,49.22587,-123.12018
Oakridge,138.1590909090909,49.22971,-123.112
Oakridge,138.1590909090909,49.22689,-123.13148
Oakridge,138.1590909090909,49.22534,-123.12228
Oakridge,138.1590909090909,49.22129,-123.13722
Oakridge,138.1590909090909,49.23111,-123.11183
Oakridge,138.1590909090909,49.22622,-123.1222
Oakridge,138.1590909090909,49.22973,-123.11165
Oakridge,138.1590909090909,49.23143,-123.11352
Oakridge,138.1590909090909,49.22209,-123.1222
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.24245,-123.14458
Shaughnessy,167.67796610169492,49.24818,-123.13609
Shaughnessy,167.67796610169492,49.23506,-123.14177
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.24633,-123.1292
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25584,-123.14139
Shaughnessy,167.67796610169492,49.23802,-123.12828
Shaughnessy,167.67796610169492,49.25609,-123.15126
Shaughnessy,167.67796610169492,49.23494,-123.14378
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.23642,-123.14939
Shaughnessy,167.67796610169492,49.25632,-123.142
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.24853,-123.13645
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25711,-123.15114
Shaughnessy,167.67796610169492,49.24234,-123.14294
Shaughnessy,167.67796610169492,49.25339,-123.12947
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.23582,-123.12859
Shaughnessy,167.67796610169492,49.25356,-123.14052
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25301,-123.12818
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25068,-123.14696
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.23871,-123.1462
Shaughnessy,167.67796610169492,49.2567,-123.1404
Shaughnessy,167.67796610169492,49.25659,-123.12948
Shaughnessy,167.67796610169492,49.25712,-123.14907
Shaughnessy,167.67796610169492,49.25319,-123.12769
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.24129,-123.13068
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.24718,-123.14192
Shaughnessy,167.67796610169492,49.25513,-123.12939
Shaughnessy,167.67796610169492,49.24186,-123.13766
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.24895,-123.1314
Shaughnessy,167.67796610169492,49.25291,-123.12936
Shaughnessy,167.67796610169492,49.23775,-123.14987
Shaughnessy,167.67796610169492,49.25285,-123.12915
Shaughnessy,167.67796610169492,49.23902839,-123.1514252
Shaughnessy,167.67796610169492,49.25703,-123.15105
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.2466,-123.13585
Shaughnessy,167.67796610169492,49.25011,-123.12779
Shaughnessy,167.67796610169492,49.25103,-123.1492
Shaughnessy,167.67796610169492,49.24699,-123.1379
Shaughnessy,167.67796610169492,49.23911,-123.1482
Shaughnessy,167.67796610169492,49.24278,-123.1436
Fairview,175.65116279069767,49.2622,-123.14579
Fairview,175.65116279069767,49.26595,-123.12975
Fairview,175.65116279069767,49.25785,-123.12199
Fairview,175.65116279069767,49.26651,-123.11846
Fairview,175.65116279069767,49.2596,-123.11891
Fairview,175.65116279069767,49.26724,-123.14109
Fairview,175.65116279069767,49.27188,-123.13947
Fairview,175.65116279069767,49.26727,-123.14131
Fairview,175.65116279069767,49.25766,-123.1252
Fairview,175.65116279069767,49.25904,-123.13314
Fairview,175.65116279069767,49.26158,-123.12615
Fairview,175.65116279069767,49.26274,-123.12739
Fairview,175.65116279069767,49.26431,-123.12104
Fairview,175.65116279069767,49.26018,-123.13477
Fairview,175.65116279069767,49.25728,-123.13057
Fairview,175.65116279069767,49.25836,-123.12625
Fairview,175.65116279069767,49.26694,-123.13986
Fairview,175.65116279069767,49.26001,-123.12607
Fairview,175.65116279069767,49.26739,-123.14272
Fairview,175.65116279069767,49.26456,-123.12753
Fairview,175.65116279069767,49.2587,-123.13084
Fairview,175.65116279069767,49.26402,-123.1196
Fairview,175.65116279069767,49.26558,-123.12842
Fairview,175.65116279069767,49.26822,-123.13579
Fairview,175.65116279069767,49.26115,-123.11512
Fairview,175.65116279069767,49.26098,-123.11539
Fairview,175.65116279069767,49.25986,-123.12692
Fairview,175.65116279069767,49.25983,-123.13621
Fairview,175.65116279069767,49.26186,-123.12752
Fairview,175.65116279069767,49.26317,-123.14125
Fairview,175.65116279069767,49.25898,-123.11866
Fairview,175.65116279069767,49.26177,-123.12837
Fairview,175.65116279069767,49.26357,-123.12267
Fairview,175.65116279069767,49.26649,-123.12179
Fairview,175.65116279069767,49.26872,-123.14232
Fairview,175.65116279069767,49.27011,-123.14099
Fairview,175.65116279069767,49.26571,-123.13241
Fairview,175.65116279069767,49.26196,-123.12688
Fairview,175.65116279069767,49.26027,-123.1263
Fairview,175.65116279069767,49.25998,-123.12644
Fairview,175.65116279069767,49.26414,-123.11674
Fairview,175.65116279069767,49.26855,-123.14199
Fairview,175.65116279069767,49.26746,-123.12785
Fairview,175.65116279069767,49.26473278,-123.1315904
Fairview,175.65116279069767,49.2664,-123.13748
Fairview,175.65116279069767,49.26181,-123.13425
Fairview,175.65116279069767,49.26674,-123.13938
Fairview,175.65116279069767,49.25881,-123.14189
